allele	status	v15_system	current_system	v15_phenotype	current_phenotype
A4GALT*01.02	added	P1PK		P1+, Pk+	
A4GALT*01.04	added	P1PK		NOR+, P1+, Pk+	
A4GALT*01N.28	added	P1PK		p	
A4GALT*01N.34	added	P1PK		p	
A4GALT*01N.35	added	P1PK		p	
A4GALT*02.02	added	P1PK		P1- Pk+ (P2)	
A4GALT*02N.01.02	added	P1PK		p	
A4GALT*02N.14	added	P1PK		p	
A4GALT*02N.20	added	P1PK		p	
A4GALT*02N.21	added	P1PK		p	
A4GALT*02N.22	added	P1PK		p	
A4GALT*02N.23	added	P1PK		p	
A4GALT*02N.24	added	P1PK		p	
A4GALT*02N.25	added	P1PK		p	
A4GALT*02N.26	added	P1PK		p	
A4GALT*02N.27	added	P1PK		p	
A4GALT*0XN.01.01	added	P1PK		p	
A4GALT*0XN.04	added	P1PK		p	
A4GALT*0XN.06	added	P1PK		p	
A4GALT*0XN.09.02	added	P1PK		p	
A4GALT*0XN.12	added	P1PK		p	
A4GALT*0XN.15	added	P1PK		p	
A4GALT*0XN.29	added	P1PK		p	
A4GALT*0XN.30	added	P1PK		p	
A4GALT*0XN.31	added	P1PK		p	
A4GALT*0XN.32	added	P1PK		p	
A4GALT*0XN.33	added	P1PK		p	
A4GALT*0XN.36	added	P1PK		p	
A4GALT*N.01	added	P1PK		p	
A4GALT*N.02	added	P1PK		p	
A4GALT*N.03	added	P1PK		p	
ABCB6*01N.34	added	LAN		Lan-	
ABCB6*01N.35	added	LAN		Lan-	
ABCB6*01N.37	added	LAN		Lan-	
ABCB6*01N.38	added	LAN		Lan-	
ABCB6*01N.39	added	LAN		Lan-	
ABCC1*01	added	ABCC1		ABCC1:1, WLF+	
ABCC1*01N.01	added	ABCC1		ABCC1:-1 or WLF-	
ABCC4*01	added	PEL		PEL:1 or PEL+	
ABCC4*01.01W	added	PEL		PEL:1 or PEL+w	
ABCC4*01.02W	added	PEL		PEL:1 or PEL+w	
ABCC4*01.03W	added	PEL		PEL:1 or PEL+w	
ABCC4*01N.01	added	PEL		PEL:-1 or PEL-	
ABCG2*01N.23	added	JR		Jr(a−)	
ABCG2*01N.27	added	JR		Jr(a−)	
ABCG2*01N.28	added	JR		Jr(a-)	
ABCG2*01W.03	added	JR		Jr(a+w)	
ABO*AW.26	added	ABO		Aweak	
ABO*AW.31.01	added	ABO		Ax/Aweak	
ABO*AW.31.02-05	added	ABO		Ax/Aweak	
ABO*O.16	added	ABO		O	
ABO*cisAB.05	added	ABO		cisAB	
ATP11C*01	added	ATP11C		ATP11C:1 or LIL+	
ATP11C*01N.01	added	ATP11C		ATP11C:-1 or LIL-	
AUG*03	added	AUG		AUG:3 or (ATML+)	
AUG*04	added	AUG		AUG:4 or (ATAM+)	
C4A*01	added	CH_RG		Ch+Rg- or CH:1,-2,3,-4,5,6. RG:-1,-2	
C4A*03	added	CH_RG		Ch-Rg+ or CH:-1,-2,-3,-4,-5,-6. RG:1,2	
C4A*07	added	CH_RG		Ch-Rg+WH+ or CH:-1,-2,-3, -4,-5,6. RG:1,-2, WH+	
C4A*N.01	added	CH_RG		Rg- or RG: -1,-2	
C4A*N.02	added	CH_RG		Rg- or RG: -1,-2	
C4A*N.03	added	CH_RG		Rg- or RG: -1,-2	
C4A*N.04	added	CH_RG		Rg- or RG: -1,-2	
C4B*01	added	CH_RG		Ch+Rg- or CH:1,2,-3,4,5,-6. RG:-1,-2	
C4B*02	added	CH_RG		Ch+Rg- or CH:1,-2,3,4,-5,6. RG:-1,-2	
C4B*03	added	CH_RG		Ch+Rg- or CH:1,2,3,4,5,6. RG:-1,-2	
C4B*05	added	CH_RG		Ch+Rg+WH+ or CH:-1,-2,-3,4,-5,6. RG:1,-2, WH+	
C4B*N.01	added	CH_RG		Ch- or CH:-1,-2,-3,-4,-5, -6	
C4B*N.02	added	CH_RG		Ch- or CH:-1,-2,-3,-4,-5, -6	
C4B*N.03	added	CH_RG		Ch- or CH:-1,-2,-3,-4,-5, -6	
CD36*01	added	CD36		CD36:1 or CD36+	
CD36*01N.01	added	CD36		CD36:–1 or CD36–	
CD36*01N.02	added	CD36		CD36:–1 or CD36–	
CD36*01N.03	added	CD36		CD36:–1 or CD36–	
CD36*01N.04	added	CD36		CD36:–1 or CD36–	
CD36*01N.05	added	CD36		CD36:–1 or CD36–	
CD36*01N.06	added	CD36		CD36:–1 or CD36–	
CD36*01N.07	added	CD36		CD36:–1 or CD36–	
CD36*01N.08	added	CD36		CD36:–1 or CD36–	
CD36*01N.09	added	CD36		CD36:–1 or CD36–	
CD36*01N.10	added	CD36		CD36:–1 or CD36–	
CD36*01N.11	added	CD36		CD36:–1 or CD36–	
CD36*01N.12	added	CD36		CD36:–1 or CD36–	
CD36*01N.13	added	CD36		CD36:–1 or CD36–	
CD36*01N.14	added	CD36		CD36:–1 or CD36–	
CD36*01N.15	added	CD36		CD36:–1 or CD36–	
CD36*01N.16	added	CD36		CD36:–1 or CD36–	
CD36*01N.17	added	CD36		CD36:–1 or CD36–	
CD36*01N.18	added	CD36		CD36:–1 or CD36–	
CD36*01N.19	added	CD36		CD36:–1 or CD36–	
CD36*01N.20	added	CD36		CD36:–1 or CD36–	
CD36*01N.21	added	CD36		CD36:–1 or CD36–	
CD36*01N.22	added	CD36		CD36:–1 or CD36–	
CD59*01.02	added	CD59		CD59:1 or CD59.1+	
CD59*01N.04	added	CD59		CD59:-1 or CD59.1-	
CD59*01N.05	added	CD59		CD59:-1 or CD59.1-	
CD59*01N.06	added	CD59		CD59:-1 or CD59.1-	
CD99*01	added	XG		CD99	
CD99*01N.01	added	XG		CD99-	
CD99*01N.02	added	XG		CD99-	
CD99*01N.03	added	XG		CD99-	
CO*02.01	added	CO		CO:2 or Co(b+)	
CO*02.02	added	CO		CO:2 or Co(b+)	
CO*N.01	added	CO		CO:-1,-2 or Co(a-b-)	
CROM*01.-17	added	CROM		CROM:–17 or CRUE–	
CROM*01.-18	added	CROM		CROM:–18 or CRAG–	
CROM*01.-19	added	CROM		CROM:−19 or CROK−	
CROM*01.-20	added	CROM		CROM:−20 or CORS−	
CROM*01N.05	added	CROM		CROM:–7 or Inab	
CROM*01N.06	added	CROM		CROM:–7 or Inab	
CTL2*01	added	CTL2		CTL2:1 or VER+	
CTL2*01.-02	added	CTL2		CTL2:-2 or RIF-	
CTL2*01.-05	added	CTL2		CTL2:–5 or BROS- or CTL2.5	
CTL2*01.04	added	CTL2		CTL2:–3,4 or Csb, or CTL2.4, or HNA-3b	
CTL2*01N.01	added	CTL2		CTL2:-1 or VER-	
DI*02.04	added	DI		DI:-3,4 or Wr(a-b+)	
DI*02.21	added	DI		DI:21 or SW1+	
DI*02.22	added	DI		DI:22 or DISK+	
DI*02.23	added	DI		DI:23 or DIST+	
DO*01.-08	added	DO		DO:-8 or DOLG-	
DO*01N.03	added	DO		DO:-3 or Gy(a-)	
DO*01N.04	added	DO		DO:-4 or Gy(a-)	
DO*01N.05	added	DO		DO:-5 or Gy(a-)	
DO*01N.06	added	DO		DO:-6 or Gy(a-)	
DO*02.-05	added	DO			
DO*02.-06	added	DO			
DO*02.-09	added	DO			
DO*02.-10	added	DO			
ER*01	added	ER		Er(a+b-), Er3+, ERSA+, ERAMA+ or ER:1,-2,3,4,5	
ER*01.-03	added	ER		Er(a-b-), Er3-, ERSA+, ERAMA+ or ER:-1,-2,-3,4,5	
ER*01.-04.01	added	ER		ERSA- or ER:-4	
ER*01.-04.02	added	ER		ERSA- or ER:-4	
ER*01.-05	added	ER		ERAMA- or ER:-5	
ER*01N.01	added	ER		Er(a-b-), Er3-, ERSA-, ERAMA- or ER:-1,-2,-3,-4,-5	
ER*02	added	ER		Er(a-b+) or ER:-1,2	
FUT1*01.02	added	H		H+	
FUT1*01N.21	added	H		H-	
FUT1*01N.22	added	H		H-	
FUT1*01N.23	added	H		H-	
