isbt_allele_or_file	reason
GYP*303	no_variants
GYP*502	no_variants
GYP*506	no_variants
RHD*01	no_variants
RHD*01N.31	no_variants
ER*01	no_variants
GYP*403	no_variants
GYP*508	no_variants
GYP*401.01	no_variants
GYP*401.02	no_variants
GYP*401.03	no_variants
GYP*401.04	no_variants
GYP*401.05	no_variants
GYP*401.06	no_variants
GYP*401.07	no_variants
GYP*401.08	no_variants
GYP*401.09	no_variants
GYP*401.10	no_variants
KLF1*01	no_variants
GATA1*01	no_variants
ABCC1*01	no_variants
PIGG*01	no_variants
XK*N.01.001	no_variants
XK*N.01.002	no_variants
XK*N.01.003	no_variants
XK*N.01.004	no_variants
XK*N.01.005	no_variants
XK*N.01.006	no_variants
XK*N.01.007	no_variants
XK*N.01.008	no_variants
XK*N.01.009	no_variants
XK*N.01.010	no_variants
XK*N.01.011	no_variants
XK*N.01.100	no_variants
XK*N.01.101	no_variants
XK*N.01.102	no_variants
XK*N.01.103	no_variants
XK*N.01.104	no_variants
XK*N.01.105	no_variants
FUT1*0N.01	no_variants
FUT2*0N.01	no_variants
FUT2*0N.03	no_variants
FUT2*0N.04	no_variants
FUT2*0N.05	no_variants
C4A*03	no_variants
DO*02.-05	no_variants
DO*02.-06	no_variants
DO*02.-08	no_variants
DO*02.-09	no_variants
DO*02.-10	no_variants
FUT3*01.01	no_variants
GYP*304	no_variants
GYP*507	no_variants
GYP*509	no_variants
GYP*604	no_variants
C4B*03	no_variants
DI*02.04	no_variants
ATP11C*01	no_variants
MAL*01	no_variants
CD36*01	no_variants
AUG*01	no_variants
CD59*01	no_variants
CO*01.01	no_variants
CROM*01	no_variants
CTL2*01	no_variants
DI*02	no_variants
DO*02	no_variants
GBGT1*01N.01	no_variants
FY*01	no_variants
GE*01	no_variants
GE*01.06.02	no_variants
GIL*01	no_variants
GLOB*01	no_variants
FUT1*01	no_variants
FUT2*01	no_variants
FUT2*ON.01	no_variants
FUT2*ON.03	no_variants
FUT2*ON.04	no_variants
FUT2*0N.02	no_variants
GCNT2*01	no_variants
GCNT2*01N.09	no_variants
IN*02	no_variants
JK*01	no_variants
JMH*01	no_variants
ABCG2*01	no_variants
ABCG2*01N.23	no_variants
KEL*02	no_variants
KANNO*01	no_variants
KN*01	no_variants
ABCB6*01	no_variants
ABO*A1.01	no_variants
LU*02	no_variants
LW*05	no_variants
MAM*01	no_variants
OK*01.01	no_variants
A4GALT*01	no_variants
ABCC4*01	no_variants
RAPH*01	no_variants
RHAG*01	no_variants
SC*01	no_variants
SID*01	no_variants
VEL*01	no_variants
XG*01	no_variants
CD99*01	no_variants
XK*01	no_variants
CD99*01N.03	no_variants
YT*01	no_variants
GYPA*02	no_variants
GYPB*04	no_variants
GYP*Vw	no_variants
GYP*Hut	no_variants
GYP*Mc	no_variants
GYP*Mg	no_variants
