knownToRefSeq.value	refGene.name	refGene.chrom	refGene.strand	refGene.txStart	refGene.txEnd	refGene.cdsStart	refGene.cdsEnd	refGene.exonStarts	refGene.exonEnds	refGene.name2
NM_000573	NM_000573	chr1	+	207496156	207641765	207496267	207639409	207496156,207505903,207506713,207511568,207523610,207526752,207527020,207528715,207550734,207551963,207552751,207558537,207560738,207563863,207564131,207565837,207567823,207569058,207569846,207575594,207577804,207580239,207580510,207581917,207584648,207587385,207588674,207607250,207609289,207611676,207611938,207614403,207616574,207618070,207619879,207621972,207622992,207630516,207639396,	207496388,207506083,207506813,207511654,207524009,207526929,207527123,207528801,207550953,207552143,207552851,207558623,207561137,207564040,207564234,207565923,207568042,207569238,207569946,207575680,207578203,207580416,207580613,207582003,207584876,207587565,207588774,207607336,207609688,207611853,207612041,207614489,207616802,207618247,207620065,207621996,207623068,207630621,207641765,	CR1
NM_000574	NM_000574	chr1	+	207321677	207360966	207321765	207359610	207321677,207322381,207324558,207325621,207326751,207331107,207336692,207337328,207339396,207359545,	207321865,207322567,207324750,207325721,207326837,207331296,207336818,207337409,207339417,207360966,	CD55
NM_002036	NM_002036	chr1	+	159204874	159206500	159204959	159206450	159204874,159205460,	159204980,159206500,	ACKR1
NM_016124	NM_016124	chr1	+	25272485	25330445	25272547	25328924	25272485,25284572,25290640,25300945,25301519,25303321,25306595,25316999,25321888,25328897,	25272695,25284759,25290791,25301093,25301686,25303459,25306729,25317079,25321962,25330445,	RHD
NM_018538	NM_018538	chr1	+	42825577	42844989	42830448	42843232	42825577,42830443,42830767,42835037,42835731,42837157,42838900,42840032,42840151,42840269,42842516,	42825738,42830533,42831115,42835154,42835764,42837190,42838921,42840053,42840178,42840296,42844989,	ERMAP
NM_020485	NM_020485	chr1	-	25362248	25420914	25362526	25420786	25362248,25370466,25375348,25385710,25388975,25390748,25391993,25402595,25408682,25420638,	25362553,25370540,25375428,25385844,25389113,25390915,25392141,25402746,25408869,25420914,	RHCE
NM_002101	NM_002101	chr2	+	126656157	126696667	126656263	126696142	126656157,126690254,126693863,126695945,	126656312,126690311,126693947,126696667,	GYPC
NM_005689	NM_005689	chr2	-	219209771	219218958	219209937	219218673	219209771,219210229,219210380,219210710,219210933,219212386,219213007,219213240,219213438,219213589,219213825,219214120,219214388,219214960,219215996,219216363,219216651,219217669,219218124,	219210046,219210298,219210475,219210823,219211108,219212491,219213065,219213326,219213502,219213666,219213951,219214186,219214498,219215082,219216180,219216465,219216832,219217807,219218958,	ABCB6
NM_033169	NM_033169	chr3	-	161083882	161104895	161085758	161086754	161083882,161101138,161103426,161104318,161104784,	161086788,161101233,161103517,161104406,161104895,	B3GALNT1
NM_002099	NM_002099	chr4	-	144109302	144140718	144111393	144140635	144109302,144114688,144116853,144118713,144119685,144120489,144140598,	144111410,144114767,144116939,144118752,144119781,144120588,144140718,	GYPA
NM_002100	NM_002100	chr4	-	143996103	144019380	143996298	144019287	143996103,143997539,143999410,144001184,144019250,	143996304,143997634,143999449,144001283,144019380,	GYPB
NM_002102	NM_002102	chr4	-	143875314	143905559	143876754	143905507	143875314,143876745,143880410,143905470,	143875509,143876855,143880509,143905559,	GYPE
NM_004827	NM_004827	chr4	-	88090268	88158639	88092233	88139995	88090268,88094576,88095519,88097452,88099323,88101229,88107183,88113302,88114956,88118108,88121634,88131060,88131802,88132575,88139792,88158385,	88092381,88094659,88095609,88097607,88099448,88101319,88107266,88113553,88115058,88118260,88121792,88131213,88131917,88132635,88140014,88158639,	ABCG2
NM_000324	NM_000324	chr6	-	49605176	49636839	49605812	49636812	49605176,49606847,49607149,49611023,49612396,49614686,49615623,49618067,49619178,49636655,	49605830,49606921,49607220,49611145,49612534,49614853,49615771,49618218,49619362,49636839,	RHAG
NM_145649	NM_145649	chr6	+	10521350	10629368	10528911	10626607	10521350,10527473,10528630,10621350,10626416,	10521417,10527660,10529836,10621443,10629368,	GCNT2
NM_000420	NM_000420	chr7	-	142941113	142962363	142941251	142962206	142941113,142942433,142942874,142943275,142943485,142943782,142944322,142944642,142946206,142952508,142953807,142954183,142954464,142957826,142958303,142960927,142961359,142961794,142962203,	142941413,142942529,142943044,142943343,142943596,142943883,142944400,142944741,142946317,142952638,142953956,142954372,142954527,142957973,142958428,142961104,142961501,142961872,142962363,	KEL
NM_015831	NM_015831	chr7	-	100889993	100895888	100890957	100894232	100889993,100891168,100892333,100893164,100895801,	100891088,100891338,100892818,100894255,100895888,	ACHE
NM_198098	NM_198098	chr7	+	30911852	30925516	30911909	30923629	30911852,30922065,30922563,30923449,	30912293,30922230,30922644,30925516,	AQP1
NM_004925	NM_004925	chr9	-	33441160	33447593	33442042	33447530	33441160,33442300,33442851,33443320,33443765,33447422,	33442211,33442518,33442970,33443458,33443892,33447593,	AQP3
NM_020469	NM_020469	chr9	-	133250400	133275201	133255665	133275189	133250400,133257408,133258096,133259818,133261317,133262098,133275161,	133256356,133257542,133258132,133259866,133261374,133262168,133275201,	ABO
NM_002049	NM_002049	chrX	+	48786589	48794310	48791109	48794164	48786589,48791090,48791843,48792322,48793171,48793792,	48786645,48791329,48792221,48792468,48793297,48794310,	GATA1
NM_021083	NM_021083	chrX	+	37685790	37732130	37685961	37728462	37685790,37694285,37727635,	37686206,37694548,37732130,	XK
NM_175569	NM_175569	chrX	+	2752051	2816501	2752274	2814380	2752051,2770549,2774715,2782065,2789643,2794534,2797309,2808184,2811335,2814363,	2752335,2770591,2774739,2782128,2789706,2794603,2797360,2808220,2811452,2816501,	XG
NM_001001391	NM_001001391	chr11	+	35139170	35232402	35139303	35229333	35139170,35176574,35180273,35186831,35189834,35214851,35219315,35221653,35229128,	35139370,35176740,35180407,35186900,35190065,35214914,35219387,35221732,35232402,	CD44
NM_004357	NM_004357	chr11	+	832951	838831	836069	838192	832951,834529,836062,836250,836768,837249,837459,837941,838132,	833026,834591,836153,836442,836843,837354,837618,838028,838831,	CD151
