knownToRefSeq.value	refGene.name	refGene.chrom	refGene.strand	refGene.txStart	refGene.txEnd	refGene.cdsStart	refGene.cdsEnd	refGene.exonStarts	refGene.exonEnds	refGene.name2	System
NM_000148	NM_000148	chr19	-	49251267	49258647	49253440	49254538	49251267,49255746,49256581,49258546,	49254540,49256379,49256820,49258647,	FUT1	H
NM_000324	NM_000324	chr6	-	49572889	49604587	49573525	49604525	49572889,49574560,49574862,49578736,49580109,49582399,49583336,49585780,49586891,49604368,	49573543,49574634,49574933,49578858,49580247,49582566,49583484,49585931,49587075,49604587,	RHAG	RHAG
NM_000342	NM_000342	chr17	-	42325757	42345503	42327825	42340234	42325757,42328526,42328786,42330485,42331863,42332574,42333040,42334717,42335026,42335353,42335780,42336530,42336864,42337176,42337771,42338002,42338942,42340003,42340219,42345421,	42327906,42328700,42328956,42330739,42332030,42332664,42333214,42334912,42335175,42335548,42335991,42336712,42336949,42337300,42337907,42338183,42339004,42340094,42340302,42345503,	SLC4A1	DI
NM_000420	NM_000420	chr7	-	142638200	142659450	142638338	142659293	142638200,142639520,142639961,142640362,142640572,142640869,142641409,142641729,142643293,142649595,142650894,142651270,142651551,142654913,142655390,142658014,142658446,142658881,142659290,	142638500,142639616,142640131,142640430,142640683,142640970,142641487,142641828,142643404,142649725,142651043,142651459,142651614,142655060,142655515,142658191,142658588,142658959,142659450,	KEL	KEL
NM_000511	NM_000511	chr19	+	49199227	49209208	49206213	49207245	49199227,49206211,	49199346,49209208,	FUT2	FUT2
NM_000573	NM_000573	chr1	+	207669501	207815110	207669612	207812754	207669501,207679248,207680058,207684913,207696955,207700097,207700365,207702060,207724079,207725308,207726096,207731882,207734083,207737208,207737476,207739182,207741168,207742403,207743191,207748939,207751149,207753584,207753855,207755262,207757993,207760730,207762019,207780595,207782634,207785021,207785283,207787748,207789919,207791415,207793224,207795317,207796337,207803861,207812741,	207669733,207679428,207680158,207684999,207697354,207700274,207700468,207702146,207724298,207725488,207726196,207731968,207734482,207737385,207737579,207739268,207741387,207742583,207743291,207749025,207751548,207753761,207753958,207755348,207758221,207760910,207762119,207780681,207783033,207785198,207785386,207787834,207790147,207791592,207793410,207795341,207796413,207803966,207815110,	CR1	KN
NM_000574	NM_000574	chr1	+	207495022	207534311	207495110	207532955	207495022,207495726,207497903,207498966,207500096,207504452,207510037,207510673,207512741,207532890,	207495210,207495912,207498095,207499066,207500182,207504641,207510163,207510754,207512762,207534311,	CD55	CROM
NM_001001391	NM_001001391	chr11	+	35160717	35253949	35160850	35250880	35160717,35198121,35201820,35208378,35211381,35236398,35240862,35243200,35250675,	35160917,35198287,35201954,35208447,35211612,35236461,35240934,35243279,35253949,	CD44	IN
NM_001544	NM_001544	chr19	+	10397630	10399196	10397688	10398780	10397630,10398211,10398661,	10398082,10398514,10399196,	ICAM4	LW
NM_001728	NM_001728	chr19	+	572595	583493	572634	582577	572595,577773,579499,580378,580645,581314,582305,582513,582749,	572701,578121,579656,580461,580782,581591,582330,582582,583493,	BSG	BSG
NM_002036	NM_002036	chr1	+	159174664	159176290	159174749	159176240	159174664,159175250,	159174770,159176290,	ACKR1	FY
NM_002049	NM_002049	chrX	+	48644981	48652717	48649516	48652571	48644981,48649497,48650250,48650729,48651578,48652199,	48645053,48649736,48650628,48650875,48651704,48652717,	GATA1	GATA1
NM_002099	NM_002099	chr4	-	145030455	145061871	145032546	145061788	145030455,145035841,145038006,145039866,145040838,145041642,145061751,	145032563,145035920,145038092,145039905,145040934,145041741,145061871,	GYPA	GYPA
NM_002100	NM_002100	chr4	-	144917256	144940498	144917451	144940440	144917256,144918692,144920563,144922337,144940403,	144917457,144918787,144920602,144922436,144940498,	GYPB	GYPB
NM_002101	NM_002101	chr2	+	127413733	127454243	127413839	127453718	127413733,127447830,127451439,127453521,	127413888,127447887,127451523,127454243,	GYPC	GE
NM_002102	NM_002102	chr4	-	144796467	144826712	144797907	144826660	144796467,144797898,144801563,144826623,	144796662,144798008,144801662,144826712,	GYPE	GYPE
NM_003612	NM_003612	chr15	-	74701629	74726299	74702964	74726259	74701629,74703635,74703896,74704225,74706887,74707178,74708141,74708915,74709675,74709931,74710217,74710608,74711141,74726081,	74703326,74703697,74704051,74704353,74707086,74707287,74708326,74709055,74709786,74710016,74710310,74710650,74711293,74726299,	SEMA7A	JMH
NM_004357	NM_004357	chr11	+	832951	838831	836069	838192	832951,834529,836062,836250,836768,837249,837459,837941,838132,	833026,834591,836153,836442,836843,837354,837618,838028,838831,	CD151	RAPH
NM_004827	NM_004827	chr4	-	89011420	89079791	89013385	89061147	89011420,89015728,89016671,89018604,89020475,89022381,89028335,89034454,89036108,89039260,89042786,89052212,89052954,89053727,89060944,89079537,	89013533,89015811,89016761,89018759,89020600,89022471,89028418,89034705,89036210,89039412,89042944,89052365,89053069,89053787,89061166,89079791,	ABCG2	JR
NM_004925	NM_004925	chr9	-	33441159	33447591	33442040	33447528	33441159,33442298,33442849,33443318,33443763,33447420,	33442209,33442516,33442968,33443456,33443890,33447591,	AQP3	GIL
NM_005581	NM_005581	chr19	+	45312315	45324678	45312381	45324178	45312315,45314481,45315419,45315734,45316506,45316694,45317408,45317860,45321778,45321997,45322312,45322602,45322838,45323961,45324172,	45312463,45314603,45315648,45315805,45316603,45316877,45317545,45318017,45321894,45322139,45322449,45322747,45322983,45324079,45324678,	BCAM	LU
NM_005689	NM_005689	chr2	-	220074493	220083680	220074659	220083395	220074493,220074951,220075102,220075432,220075655,220077108,220077729,220077962,220078160,220078311,220078547,220078842,220079110,220079682,220080718,220081085,220081373,220082391,220082846,	220074768,220075020,220075197,220075545,220075830,220077213,220077787,220078048,220078224,220078388,220078673,220078908,220079220,220079804,220080902,220081187,220081554,220082529,220083680,	ABCB6	LAN
NM_006563	NM_006563	chr19	-	12995235	12998017	12995698	12997954	12995235,12996130,12997867,	12995874,12996956,12998017,	KLF1	KLF1
NM_015865	NM_015865	chr18	+	43304145	43332485	43310285	43329916	43304145,43304914,43310264,43310979,43314238,43316420,43319127,43319492,43328340,43329742,	43304238,43304978,43310436,43311169,43314367,43316613,43319275,43319627,43328390,43332485,	SLC14A1	JK
